address,lat,lng
"Moreno 2478, Balvanera, Ciudad de Buenos Aires, C1094, Ciudad Autónoma de Buenos Aires",-34.61333658173972,-58.40112449567128
"Moreno 2256, Balvanera, Ciudad de Buenos Aires, C1094, Ciudad Autónoma de Buenos Aires",-34.613130015606586,-58.39823000989772
"Moreno 3017, Balvanera, Ciudad de Buenos Aires, C1209, Ciudad Autónoma de Buenos Aires",-34.613940000819944,-58.408920037750576
"Matheu 1222, San Cristóbal, Ciudad de Buenos Aires, C1249, Ciudad Autónoma de Buenos Aires",-34.62383999238901,-58.39915998205504
"Moreno 1988, Balvanera, Ciudad de Buenos Aires, C1094, Ciudad Autónoma de Buenos Aires",-34.61290001618345,-58.39449000470084
"Moreno 2256, Balvanera, Ciudad de Buenos Aires, C1094, Ciudad Autónoma de Buenos Aires",-34.613130015606586,-58.39823000989772
"Castelli 45, Balvanera, Ciudad de Buenos Aires, C1031, Ciudad Autónoma de Buenos Aires",-34.609399984874486,-58.40457997210537
"Junín 658, Balvanera, Ciudad de Buenos Aires, C1026, Ciudad Autónoma de Buenos Aires",-34.601569988113624,-58.397110019995424
"Avenida Pueyrredón 860, Balvanera, Ciudad de Buenos Aires, C1032, Ciudad Autónoma de Buenos Aires",-34.60033998573215,-58.40441996157375
"Junín 260, Balvanera, Capital Federal, C1026, Ciudad Autónoma de Buenos Aires",-34.60640999237374,-58.39658003225763
"Castelli 157, Balvanera, Ciudad de Buenos Aires, C1031, Ciudad Autónoma de Buenos Aires",-34.608099993601485,-58.40466999374547
"Sarmiento 2569, Balvanera, Ciudad de Buenos Aires, C1045, Ciudad Autónoma de Buenos Aires",-34.606290005429784,-58.40302001610539
"Avenida San Juan 2816, San Cristóbal, Capital Federal, C1232, Ciudad Autónoma de Buenos Aires",-34.62406999181214,-58.40387002490641
"Moreno 1850, Balvanera, Ciudad de Buenos Aires, C1094, Ciudad Autónoma de Buenos Aires",-34.61279000370428,-58.39255998767565
"Matheu 341, Balvanera, Ciudad de Buenos Aires, C1082, Ciudad Autónoma de Buenos Aires",-34.613701499645,-58.40024077845181
"Adolfo Alsina 1838, Balvanera, Ciudad de Buenos Aires, C1090, Ciudad Autónoma de Buenos Aires",-34.61159000853616,-58.39248999878414
"Avenida Hipólito Yrigoyen 2251, Balvanera, Ciudad de Buenos Aires, C1089, Ciudad Autónoma de Buenos Aires",-34.6106900016827,-58.3980699993661
"Avenida Belgrano 2313, Balvanera, Ciudad de Buenos Aires, C1096, Ciudad Autónoma de Buenos Aires",-34.614219998295525,-58.39908001869874
"Bartolomé Mitre 3088, Balvanera, Ciudad de Buenos Aires, C1201, Ciudad Autónoma de Buenos Aires",-34.60919001819994,-58.41014999822255
"Riobamba 460, Balvanera, Ciudad de Buenos Aires, C1025, Ciudad Autónoma de Buenos Aires",-34.60376998624009,-58.39396999142784
"Avenida Belgrano & Pasco, Balvanera, Ciudad de Buenos Aires, C1094, Ciudad Autónoma de Buenos Aires",-34.61421995638601,-58.39747991338256
"Lavalle 1994, Balvanera, Ciudad de Buenos Aires, C1051, Ciudad Autónoma de Buenos Aires",-34.60330001292904,-58.395259966326535
"Avenida Corrientes 2063, Balvanera, Ciudad de Buenos Aires, C1045, Ciudad Autónoma de Buenos Aires",-34.60443999367042,-58.396239978445806
"Teniente General Juan Domingo Perón 2099, Balvanera, Ciudad de Buenos Aires, C1040, Ciudad Autónoma de Buenos Aires",-34.60709999064314,-58.39638004004787
"Tucumán 2227, Balvanera, Ciudad de Buenos Aires, C1051, Ciudad Autónoma de Buenos Aires",-34.60217000665244,-58.39892000816712
"Avenida Córdoba 3200, Balvanera, Ciudad de Buenos Aires, C1187, Ciudad Autónoma de Buenos Aires",-34.59810000592754,-58.41178002693307
"Pasteur 359, Balvanera, Ciudad de Buenos Aires, C1028, Ciudad Autónoma de Buenos Aires",-34.605240004418995,-58.39938000701339
"Catamarca 1426, San Cristóbal, Ciudad de Buenos Aires, C1246, Ciudad Autónoma de Buenos Aires",-34.62693999736893,-58.40273000225552
"Avenida San Juan 2266, San Cristóbal, Ciudad de Buenos Aires, C1232, Ciudad Autónoma de Buenos Aires",-34.62324001575971,-58.39718998335171
"Boulogne Sur Mer 671, Balvanera, Ciudad de Buenos Aires, C1213, Ciudad Autónoma de Buenos Aires",-34.60230000997069,-58.4060400158195
"Viamonte 2812, Balvanera, Ciudad de Buenos Aires, C1213, Ciudad Autónoma de Buenos Aires",-34.60084000816608,-58.40594001971462
"Avenida Corrientes 2312, Balvanera, Ciudad de Buenos Aires, C1046, Ciudad Autónoma de Buenos Aires",-34.60473000752029,-58.39968996979282
"Avenida Corrientes 2312, Balvanera, Ciudad de Buenos Aires, C1046, Ciudad Autónoma de Buenos Aires",-34.60473000752029,-58.39968996979282
"Avenida Rivadavia 2358, Balvanera, Ciudad de Buenos Aires, C1034, Ciudad Autónoma de Buenos Aires",-34.6098200020426,-58.39986003860825
"Avenida Corrientes 2835, Balvanera, Ciudad de Buenos Aires, C1193, Ciudad Autónoma de Buenos Aires",-34.60440001199227,-58.406049990284274
"Avenida Corrientes 3169, Balvanera, Ciudad de Buenos Aires, C1193, Ciudad Autónoma de Buenos Aires",-34.60397002035937,-58.409759988267794
"Adolfo Alsina 2304, Balvanera, Ciudad de Buenos Aires, C1090, Ciudad Autónoma de Buenos Aires",-34.6120836416211,-58.3990380845386
"Avenida Belgrano 1824, Balvanera, Ciudad de Buenos Aires, C1094, Ciudad Autónoma de Buenos Aires",-34.613940000819944,-58.39218003600472
"Avenida Callao 462, Balvanera, Ciudad de Buenos Aires, C1022, Ciudad Autónoma de Buenos Aires",-34.60361999208276,-58.392450017106
"Avenida Córdoba 2070, Balvanera, Ciudad de Buenos Aires, C1120, Ciudad Autónoma de Buenos Aires",-34.599799981620066,-58.39668002836251
"La Rioja 165, Balvanera, Ciudad de Buenos Aires, C1214, Ciudad Autónoma de Buenos Aires",-34.61221001791405,-58.40879003443233
"Avenida Rivadavia 2290, Balvanera, Ciudad de Buenos Aires, C1034, Ciudad Autónoma de Buenos Aires",-34.6097399967768,-58.39889000095376
"Avenida Belgrano 2755, Balvanera, Ciudad de Buenos Aires, C1096, Ciudad Autónoma de Buenos Aires",-34.61457451390282,-58.40460905643872
"Avenida Callao 322, Balvanera, Ciudad de Buenos Aires, C1022, Ciudad Autónoma de Buenos Aires",-34.60543999662876,-58.39229998103916
"Avenida Callao 322, Balvanera, Ciudad de Buenos Aires, C1022, Ciudad Autónoma de Buenos Aires",-34.60543999662876,-58.39229998103916
"Presidente José E. Uriburu 460, Balvanera, Ciudad de Buenos Aires, C1027, Ciudad Autónoma de Buenos Aires",-34.60379999345346,-58.39836001321597
"Viamonte 1832, Balvanera, Ciudad de Buenos Aires, C1056, Ciudad Autónoma de Buenos Aires",-34.60087001537945,-58.3933100003718
"Riobamba 781, Balvanera, Ciudad de Buenos Aires, C1025, Ciudad Autónoma de Buenos Aires",-34.600089995469936,-58.39429001249107
"Avenida Corrientes 1996, Balvanera, Ciudad de Buenos Aires, C1045, Ciudad Autónoma de Buenos Aires",-34.604569996988666,-58.3951199885435
"Avenida Callao 542, Balvanera, Ciudad de Buenos Aires, C1022, Ciudad Autónoma de Buenos Aires",-34.60269986713687,-58.39253986917749
"Riobamba 230, Balvanera, Ciudad de Buenos Aires, C1025, Ciudad Autónoma de Buenos Aires",-34.60650998847862,-58.39364997036459
"Viamonte 2506, Balvanera, Ciudad de Buenos Aires, C1056, Ciudad Autónoma de Buenos Aires",-34.60107998205399,-58.402539984510526
"Azcuénaga 736, Balvanera, Ciudad de Buenos Aires, C1029, Ciudad Autónoma de Buenos Aires",-34.60048000542469,-58.401059991866845
"Boulogne Sur Mer 601, Balvanera, Ciudad de Buenos Aires, C1213, Ciudad Autónoma de Buenos Aires",-34.60314548042071,-58.40622762769561
"México 3041, Balvanera, Ciudad de Buenos Aires, C1223, Ciudad Autónoma de Buenos Aires",-34.61837000428623,-58.408419973407135
"Avenida Corrientes 2621, Balvanera, Ciudad de Buenos Aires, C1046, Ciudad Autónoma de Buenos Aires",-34.60463998588018,-58.40394001379792
"Pavón 2652, San Cristóbal, Ciudad de Buenos Aires, C1248, Ciudad Autónoma de Buenos Aires",-34.62759998842496,-58.40207001119949
"México 2835, Balvanera, Ciudad de Buenos Aires, C1223, Ciudad Autónoma de Buenos Aires",-34.61756001907287,-58.40591001250125
"Avenida Corrientes 2470, Balvanera, Ciudad de Buenos Aires, C1046, Ciudad Autónoma de Buenos Aires",-34.60478000557273,-58.401710008458096
"Avenida Rivadavia 2151, Balvanera, Ciudad de Buenos Aires, C1034, Ciudad Autónoma de Buenos Aires",-34.60952001372796,-58.39685001335892
"Pasteur 133, Balvanera, Ciudad de Buenos Aires, C1028, Ciudad Autónoma de Buenos Aires",-34.607999997496606,-58.39918001480362
"Avenida Corrientes 2037, Balvanera, Ciudad de Buenos Aires, C1045, Ciudad Autónoma de Buenos Aires",-34.60443001920564,-58.395920041201606
"Avenida Jujuy 1061, San Cristóbal, Ciudad de Buenos Aires, C1229, Ciudad Autónoma de Buenos Aires",-34.6219399825772,-58.40269999504216
"Ecuador 374, Balvanera, Ciudad de Buenos Aires, C1214, Ciudad Autónoma de Buenos Aires",-34.60576999215678,-58.4084499806205
"San Luís 2450, Balvanera, Ciudad de Buenos Aires, C1056, Ciudad Autónoma de Buenos Aires",-34.60022733295347,-58.40170296765943
"Oruro 1168, San Cristóbal, Ciudad de Buenos Aires, C1220, Ciudad Autónoma de Buenos Aires",-34.624369980126794,-58.41084997095673
"San Luís 3130, Balvanera, Ciudad de Buenos Aires, C1186, Ciudad Autónoma de Buenos Aires",-34.59951998414449,-58.40935002938349
"Moreno 1914, Balvanera, Ciudad de Buenos Aires, C1094, Ciudad Autónoma de Buenos Aires",-34.612820010917645,-58.393489959832976
"Ecuador 572, Balvanera, Ciudad de Buenos Aires, C1214, Ciudad Autónoma de Buenos Aires",-34.60340000903392,-58.40758002288993
"Avenida Corrientes 2330, Balvanera, Ciudad de Buenos Aires, C1046, Ciudad Autónoma de Buenos Aires",-34.60473998198506,-58.399949976429326
"La Rioja 104, Balvanera, Ciudad de Buenos Aires, C1214, Ciudad Autónoma de Buenos Aires",-34.61154523148715,-58.40871502560631
"Avenida Corrientes 2312, Balvanera, Ciudad de Buenos Aires, C1046, Ciudad Autónoma de Buenos Aires",-34.60473000752029,-58.39968996979282
"Carlos Calvo 3261, San Cristóbal, Ciudad de Buenos Aires, C1230, Ciudad Autónoma de Buenos Aires",-34.62280000775252,-58.41137995869451
"Ecuador 906, Balvanera, Ciudad de Buenos Aires, C1214, Ciudad Autónoma de Buenos Aires",-34.59953000051879,-58.40630999692078
"Sarmiento 1967, Balvanera, Ciudad de Buenos Aires, C1044, Ciudad Autónoma de Buenos Aires",-34.60578000853107,-58.39459000080572
"Avenida Rivadavia 1864, Balvanera, Ciudad de Buenos Aires, C1033, Ciudad Autónoma de Buenos Aires",-34.6098200020426,-58.392610027637616
"Junín 102, Balvanera, Ciudad de Buenos Aires, C1026, Ciudad Autónoma de Buenos Aires",-34.60823706715183,-58.39645452655203
"Avenida Pueyrredón 538, Balvanera, Ciudad de Buenos Aires, C1032, Ciudad Autónoma de Buenos Aires",-34.60399998566322,-58.40541003197683
"Avenida Rivadavia 2358, Balvanera, Ciudad de Buenos Aires, C1034, Ciudad Autónoma de Buenos Aires",-34.6098200020426,-58.39986003860825
"Teniente General Juan Domingo Perón 2169, Balvanera, Ciudad de Buenos Aires, C1040, Ciudad Autónoma de Buenos Aires",-34.60717999590895,-58.39744998998822
"Avenida Hipólito Yrigoyen 2550, Balvanera, Ciudad de Buenos Aires, C1090, Ciudad Autónoma de Buenos Aires",-34.61108998610223,-58.402469995619015
"Ayacucho 457, Balvanera, Ciudad de Buenos Aires, C1026, Ciudad Autónoma de Buenos Aires",-34.60373000456194,-58.39531998075327
"Pasteur 334, Balvanera, Ciudad de Buenos Aires, C1028, Ciudad Autónoma de Buenos Aires",-34.605589990786086,-58.39942996315632
"Teniente General Juan Domingo Perón 2017, Balvanera, Ciudad de Buenos Aires, C1040, Ciudad Autónoma de Buenos Aires",-34.607030001751625,-58.39530003182371
"Carlos Calvo 2560, San Cristóbal, Ciudad de Buenos Aires, C1230, Ciudad Autónoma de Buenos Aires",-34.62109753159057,-58.40134516047485
"Avenida Rivadavia 2206, Balvanera, Ciudad de Buenos Aires, C1034, Ciudad Autónoma de Buenos Aires",-34.60965001704621,-58.39773002937331
"Rincón 983, San Cristóbal, Ciudad de Buenos Aires, C1227, Ciudad Autónoma de Buenos Aires",-34.62035999382863,-58.39589003398824
"México 1848, Balvanera, Ciudad de Buenos Aires, C1222, Ciudad Autónoma de Buenos Aires",-34.61579001257931,-58.39243995882218
"Avenida Rivadavia 2195, Balvanera, Ciudad de Buenos Aires, C1034, Ciudad Autónoma de Buenos Aires",-34.60950999735366,-58.39741000831006
"Junín 649, Balvanera, Ciudad de Buenos Aires, C1026, Ciudad Autónoma de Buenos Aires",-34.60162211120804,-58.39698461145303
"Avenida Pueyrredón 605, Balvanera, Ciudad de Buenos Aires, C1032, Ciudad Autónoma de Buenos Aires",-34.603209991288935,-58.40502999648686
"Pavón 2540, San Cristóbal, Ciudad de Buenos Aires, C1248, Ciudad Autónoma de Buenos Aires",-34.627419987054274,-58.40056998580721
"Rincón 40, Balvanera, Capital Federal, C1081, Ciudad Autónoma de Buenos Aires",-34.60995000536086,-58.39620997123244
"Teniente General Juan Domingo Perón 1966, Balvanera, Ciudad de Buenos Aires, C1040, Ciudad Autónoma de Buenos Aires",-34.607030001751625,-58.394350026917806
"Avenida Hipólito Yrigoyen 2085, Balvanera, Ciudad de Buenos Aires, C1089, Ciudad Autónoma de Buenos Aires",-34.610546801423,-58.39597578949144
"Avenida Hipólito Yrigoyen 2205, Balvanera, Ciudad de Buenos Aires, C1089, Ciudad Autónoma de Buenos Aires",-34.610669616020694,-58.39759541738295
"Pasteur 372, Balvanera, Ciudad de Buenos Aires, C1028, Ciudad Autónoma de Buenos Aires",-34.60512001747504,-58.39951001033164
"Avenida Corrientes 2470, Balvanera, Ciudad de Buenos Aires, C1046, Ciudad Autónoma de Buenos Aires",-34.60478000557273,-58.401710008458096
"Ecuador 367, Balvanera, Ciudad de Buenos Aires, C1214, Ciudad Autónoma de Buenos Aires",-34.60586998826166,-58.40837999172899
"Deán Funes 505, Balvanera, Ciudad de Buenos Aires, C1231, Ciudad Autónoma de Buenos Aires",-34.61646002000964,-58.40696998797682
"Tucumán 2407, Balvanera, Ciudad de Buenos Aires, C1052, Ciudad Autónoma de Buenos Aires",-34.602159990278146,-58.40108999908021
"Avenida Pueyrredón 524, Balvanera, Ciudad de Buenos Aires, C1032, Ciudad Autónoma de Buenos Aires",-34.604209994247284,-58.40546996258453
"Junín 265, Balvanera, Ciudad de Buenos Aires, C1026, Ciudad Autónoma de Buenos Aires",-34.60640001790896,-58.39649998508232
"Avenida Corrientes 2425, Balvanera, Ciudad de Buenos Aires, C1046, Ciudad Autónoma de Buenos Aires",-34.604600004202034,-58.40125000961183
"Avenida Pueyrredón 611, Balvanera, Ciudad de Buenos Aires, C1032, Ciudad Autónoma de Buenos Aires",-34.603070013505906,-58.40499001480872
"Avenida Corrientes 3301, Balvanera, Ciudad de Buenos Aires, C1193, Ciudad Autónoma de Buenos Aires",-34.60401000203751,-58.41191003025132
